time,count,MonthYear
1,1100,1/1/2000
2,1324,2/1/2000
3,1482,3/1/2000
4,1259,4/1/2000
5,1412,5/1/2000
6,1406,6/1/2000
7,1218,7/1/2000
8,1335,8/1/2000
9,1176,9/1/2000
10,1141,10/1/2000
11,941,11/1/2000
12,535,12/1/2000
13,1106,1/1/2001
14,1159,2/1/2001
15,1376,3/1/2001
16,1353,4/1/2001
17,1447,5/1/2001
18,1324,6/1/2001
19,1153,7/1/2001
20,1359,8/1/2001
21,1100,9/1/2001
22,1159,10/1/2001
23,900,11/1/2001
24,553,12/1/2001
25,1053,1/1/2002
26,1129,2/1/2002
27,1318,3/1/2002
28,1353,4/1/2002
29,1329,5/1/2002
30,1253,6/1/2002
31,1206,7/1/2002
32,1182,8/1/2002
33,1047,9/1/2002
34,1018,10/1/2002
35,812,11/1/2002
36,518,12/1/2002
37,1106,1/1/2003
38,1065,2/1/2003
39,1241,3/1/2003
40,1306,4/1/2003
41,1306,5/1/2003
42,1188,6/1/2003
43,1206,7/1/2003
44,1129,8/1/2003
45,1065,9/1/2003
46,1094,10/1/2003
47,818,11/1/2003
48,529,12/1/2003
49,1059,1/1/2004
50,1082,2/1/2004
51,1335,3/1/2004
52,1212,4/1/2004
53,1229,5/1/2004
54,1241,6/1/2004
55,1182,7/1/2004
56,1182,8/1/2004
57,1018,9/1/2004
58,994,10/1/2004
59,788,11/1/2004
60,565,12/1/2004
61,1059,1/1/2005
62,1024,2/1/2005
63,1259,3/1/2005
64,1171,4/1/2005
65,1265,5/1/2005
66,1235,6/1/2005
67,1065,7/1/2005
68,1106,8/1/2005
69,1000,9/1/2005
70,965,10/1/2005
71,794,11/1/2005
72,524,12/1/2005
73,1018,1/1/2006
74,1041,2/1/2006
75,1200,3/1/2006
76,1153,4/1/2006
77,1218,5/1/2006
78,1118,6/1/2006
79,1024,7/1/2006
80,1171,8/1/2006
81,935,9/1/2006
82,941,10/1/2006
83,776,11/1/2006
84,547,12/1/2006
85,971,1/1/2007
86,965,2/1/2007
87,1165,3/1/2007
88,1141,4/1/2007
89,1124,5/1/2007
90,1176,6/1/2007
91,1088,7/1/2007
92,1112,8/1/2007
93,959,9/1/2007
94,853,10/1/2007
95,788,11/1/2007
96,500,12/1/2007
97,1000,1/1/2008
98,971,2/1/2008
99,1071,3/1/2008
100,1159,4/1/2008
101,1106,5/1/2008
102,1041,6/1/2008
103,1129,7/1/2008
104,994,8/1/2008
105,929,9/1/2008
106,929,10/1/2008
107,700,11/1/2008
108,541,12/1/2008
109,776,1/1/2009
110,888,2/1/2009
111,1006,3/1/2009
112,1035,4/1/2009
113,976,5/1/2009
114,1012,6/1/2009
115,965,7/1/2009
116,906,8/1/2009
117,818,9/1/2009
118,771,10/1/2009
119,688,11/1/2009
120,535,12/1/2009
