Radon,Time,Date
4.7,12:00PM,3/13/2019
5.8,1:00PM,3/13/2019
5.5,2:00PM,3/13/2019
6.5,3:00PM,3/13/2019
8.3,4:00PM,3/13/2019
6.9,5:00PM,3/13/2019
5.5,6:00PM,3/13/2019
8,7:00PM,3/13/2019
5.8,8:00PM,3/13/2019
11,9:00PM,3/13/2019
10.6,10:00PM,3/13/2019
13.8,11:00PM,3/13/2019
7.6,12:00AM,3/14/2019
5.8,1:00AM,3/14/2019
8,2:00AM,3/14/2019
7.6,3:00AM,3/14/2019
8,4:00AM,3/14/2019
8,5:00AM,3/14/2019
7.3,6:00AM,3/14/2019
5.1,7:00AM,3/14/2019
4.3,8:00AM,3/14/2019
6.1,9:00AM,3/14/2019
8,10:00AM,3/14/2019
5.8,11:00AM,3/14/2019
5.5,12:00PM,3/14/2019
6.5,1:00PM,3/14/2019
6.9,2:00PM,3/14/2019
6.9,3:00PM,3/14/2019
8.3,4:00PM,3/14/2019
6.5,5:00PM,3/14/2019
8.3,6:00PM,3/14/2019
6.5,7:00PM,3/14/2019
10.2,8:00PM,3/14/2019
9.1,9:00PM,3/14/2019
7.6,10:00PM,3/14/2019
6.5,11:00PM,3/14/2019
6.1,12:00AM,3/15/2019
6.5,1:00AM,3/15/2019
4,2:00AM,3/15/2019
7.6,3:00AM,3/15/2019
8.3,4:00AM,3/15/2019
6.5,5:00AM,3/15/2019
6.9,6:00AM,3/15/2019
6.5,7:00AM,3/15/2019
3.2,8:00AM,3/15/2019
5.8,9:00AM,3/15/2019
6.9,10:00AM,3/15/2019
6.9,11:00AM,3/15/2019
6.5,12:00PM,3/15/2019
4.3,1:00PM,3/15/2019
7.3,2:00PM,3/15/2019
6.5,3:00PM,3/15/2019
5.1,4:00PM,3/15/2019
6.5,5:00PM,3/15/2019
2.8,6:00PM,3/15/2019
7.6,7:00PM,3/15/2019
7.3,8:00PM,3/15/2019
3.6,9:00PM,3/15/2019
6.9,10:00PM,3/15/2019
6.9,11:00PM,3/15/2019
7.3,12:00AM,3/16/2019
8,1:00AM,3/16/2019
7.6,2:00AM,3/16/2019
7.3,3:00AM,3/16/2019
6.5,4:00AM,3/16/2019
9.1,5:00AM,3/16/2019
4.7,6:00AM,3/16/2019
5.1,7:00AM,3/16/2019
7.3,8:00AM,3/16/2019
5.8,9:00AM,3/16/2019
8.3,10:00AM,3/16/2019
7.6,11:00AM,3/16/2019
5.5,12:00PM,3/16/2019
6.9,1:00PM,3/16/2019
4.7,2:00PM,3/16/2019
3.2,3:00PM,3/16/2019
3.6,4:00PM,3/16/2019
4.3,5:00PM,3/16/2019
6.9,6:00PM,3/16/2019
6.9,7:00PM,3/16/2019
8.3,8:00PM,3/16/2019
8.3,9:00PM,3/16/2019
8.3,10:00PM,3/16/2019
5.8,11:00PM,3/16/2019
6.9,12:00AM,3/17/2019
6.5,1:00AM,3/17/2019
5.1,2:00AM,3/17/2019
11,3:00AM,3/17/2019
